,Admir Antonio Betarelli Junior,Aisling Reynolds-Feighan,Andi Irawan,Andre Fernandes Tomon Avelino,Andre Magalhaes,Andrew Crawley,Andy Irawan,Anna Gloria Bille,Antonio Avendano,Bartlomiej Rokicki,Birgit Aigner-Walder,Blanca Moreno,Breno Silva,Budy Resosudarmo,Carlos Azzoni,Carlos Figueroa,Caroyln Dong Guo,Chenxi Yu,Chokri Dridi,Christian Ganzert,Cihan Cagil,Coro Chasco,Cristina Miller,Daisuke Nakamura,Darla Munroe,Deniz Ay,Dieter Pennerstorfr,Domingo Perez Ximenez-de-Embun,Dusan Paredes,Edson Domingues,Eduardo Haddad,Eduardo Martins,Elena Lasarte,Elif Alkay,Enlison Matos,Esteban Fernandez Vazquez,Esteban Lopez,Euijune Kim,Eveline van Leeuwen,Fernanda Sartori Camargo da Cunha,Fernando Perobelli,Fernando Rubiera,Fernando Vial,Flaviane de Souza,Geoffrey J.D. Hewings,Gianfranco Piras,Isidoro Romero,Jae Hong Kim,Jaewon Lim,Jaime Bonet,Jenny Chan,Jiemin Guo,Jizhou Fu,Joaquim Guilhoto,Johannes Brocker,Julia Koschinsky,Julian Ramajo,Julie Le Gallo,Jun Wan,Junghye Moon,Jungyul Sohn,Kenia de Souza,Kijin Kim,Kurt Kratena,Laura Atuesta,Laura Varela-Candamio,Leonardo Bonilla,Lorena Garcia-Alonso,Luc Anselin,Luis Armando Galvis,Luis Escobedo,Luiz Ribeiro,Manuel Alejandro Cardenete,Marcelo Lufin,Marco Percoco,Maria Edisa Soppelsa,Maria Plotnikova,Masayo Wakabayashi,Mauricio Machado,Miao Wang,Michael Sonis,Miguel Marquez,Minshu Du,Monalisa Sen,Monica Haddad,Nancy Lozano Gracia,Norihiko Yamano,Nuria Gallego,Oliver Fritz,Ozge Oner,Paolo Postiglione,Patricio Aroca,Patrick Wu,Pedro Carvalho,Pedro Ramos,Rafael Garduno-Rivera,Rafael Vera,Renata de Melo Caldas,Ricardo Gazel,Roberto Benedetti,Saket Sarraf,Sandy Dall'erba,Sarah A. Low,Suahasil Nazara,Sungyup Chung,Taisuke Sadayuki,Thi My Huong Nguyen,Weslem Faria,Xian Fang,Xinjan liu,Yang Su Park,Yasuhide Okuyama,Yiannis Kamarianakis,Yizhou Zhang,Zengkai Zhang,Zinan Zhang
Admir Antonio Betarelli Junior,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aisling Reynolds-Feighan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andi Irawan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Fernandes Tomon Avelino,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Magalhaes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Crawley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Irawan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Gloria Bille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Avendano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartlomiej Rokicki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
