source,target,type
Admir.Antonio.Betarelli.Junior,Chenxi.Yu,directed
Admir.Antonio.Betarelli.Junior,Luis.Escobedo,directed
Admir.Antonio.Betarelli.Junior,Minshu.Du,directed
Aisling.Reynolds.Feighan,Geoffrey.J.D..Hewings,directed
Andre.Fernandes.Tomon.Avelino,Carlos.Figueroa,directed
Andre.Fernandes.Tomon.Avelino,Esteban.Lopez,directed
Andre.Fernandes.Tomon.Avelino,Leonardo.Bonilla,directed
Andre.Magalhaes,Michael.Sonis,directed
Anna.Gloria.Bille,Monalisa.Sen,directed
Antonio.Avendano,Dusan.Paredes,directed
Bartlomiej.Rokicki,Geoffrey.J.D..Hewings,directed
Birgit.Aigner.Walder,Geoffrey.J.D..Hewings,directed
Birgit.Aigner.Walder,Laura.Atuesta,directed
Blanca.Moreno,Geoffrey.J.D..Hewings,directed
Blanca.Moreno,Roberto.Benedetti,directed
Breno.Silva,Chenxi.Yu,directed
Breno.Silva,Junghye.Moon,directed
Breno.Silva,Minshu.Du,directed
Budy.Resosudarmo,Geoffrey.J.D..Hewings,directed
Carlos.Azzoni,Dusan.Paredes,directed
Carlos.Azzoni,Elena.Lasarte,directed
Carlos.Azzoni,Michael.Sonis,directed
Christian.Ganzert,Geoffrey.J.D..Hewings,directed
Cihan.Cagil,Jun.Wan,directed
Coro.Chasco,Caroyln.Dong.Guo,directed
Coro.Chasco,Julie.Le.Gallo,directed
Coro.Chasco,Sandy.Dall.erba,directed
Cristina.Miller,Dusan.Paredes,directed
Cristina.Miller,Jun.Wan,directed
Cristina.Miller,Laura.Atuesta,directed
Daisuke.Nakamura,Esteban.Lopez,directed
Daisuke.Nakamura,Laura.Atuesta,directed
Daisuke.Nakamura,Rafael.Vera,directed
Darla.Munroe,Eduardo.Haddad,directed
Dieter.Pennerstorfr,Chenxi.Yu,directed
Domingo.Perez.Ximenez.de.Embun,Andi.Irawan,directed
Domingo.Perez.Ximenez.de.Embun,Carlos.Figueroa,directed
Domingo.Perez.Ximenez.de.Embun,Chenxi.Yu,directed
Dusan.Paredes,Esteban.Lopez,directed
Dusan.Paredes,Laura.Atuesta,directed
Edson.Domingues,Michael.Sonis,directed
Eduardo.Haddad,Geoffrey.J.D..Hewings,directed
Elena.Lasarte,Geoffrey.J.D..Hewings,directed
Elif.Alkay,Daisuke.Nakamura,directed
Esteban.Fernandez.Vazquez,Dusan.Paredes,directed
Esteban.Fernandez.Vazquez,Geoffrey.J.D..Hewings,directed
Esteban.Fernandez.Vazquez,Johannes.Brocker,directed
Esteban.Lopez,Deniz.Ay,directed
Esteban.Lopez,Geoffrey.J.D..Hewings,directed
Esteban.Lopez,Leonardo.Bonilla,directed
Esteban.Lopez,Xian.Fang,directed
Euijune.Kim,Geoffrey.J.D..Hewings,directed
Eveline.van.Leeuwen,Geoffrey.J.D..Hewings,directed
Fernanda.Sartori.Camargo.da.Cunha,Carlos.Azzoni,directed
Fernanda.Sartori.Camargo.da.Cunha,Joaquim.Guilhoto,directed
Fernando.Perobelli,Jaime.Bonet,directed
Fernando.Rubiera,Dusan.Paredes,directed
Gianfranco.Piras,Geoffrey.J.D..Hewings,directed
Isidoro.Romero,Geoffrey.J.D..Hewings,directed
Jae.Hong.Kim,Geoffrey.J.D..Hewings,directed
Jae.Hong.Kim,Marcelo.Lufin,directed
Jae.Hong.Kim,Saket.Sarraf,directed
Jaewon.Lim,Geoffrey.J.D..Hewings,directed
Jaime.Bonet,Fernando.Vial,directed
Jaime.Bonet,Patricio.Aroca,directed
Jaime.Bonet,Suahasil.Nazara,directed
Jenny.Chan,Cristina.Miller,directed
Jiemin.Guo,Joaquim.Guilhoto,directed
Jizhou.Fu,Jae.Hong.Kim,directed
Joaquim.Guilhoto,Michael.Sonis,directed
Jungyul.Sohn,Geoffrey.J.D..Hewings,directed
Kenia.de.Souza,Kijin.Kim,directed
Kijin.Kim,Andrew.Crawley,directed
Kurt.Kratena,Chenxi.Yu,directed
Kurt.Kratena,Kijin.Kim,directed
Kurt.Kratena,Sungyup.Chung,directed
Laura.Atuesta,Dusan.Paredes,directed
Laura.Varela.Candamio,Fernando.Rubiera,directed
Laura.Varela.Candamio,Flaviane.de.Souza,directed
